item,itemLabel,parti,partiLabel
http://www.wikidata.org/entity/Q2078432,Peter Spälti,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1359563,Ernst Mühlemann,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1508816,Georges Breny,http://www.wikidata.org/entity/Q660046,Swiss Democrats
http://www.wikidata.org/entity/Q1583965,Hanspeter Fischer,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q1583965,Hanspeter Fischer,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q76368904,Georg Stucky,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q116380,Hedi Lang,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q119427,Paul Schmidhalter,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q119955,Jacques Neirynck,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1685180,Jean-Pierre Bonny,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1889177,Manfred Aregger,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q522249,André Perey,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2076596,Bernhard Müller,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q19502703,Jean-François Aubert,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q23992788,Karl Schnyder,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q23992788,Karl Schnyder,http://www.wikidata.org/entity/Q1186111,Q1186111
http://www.wikidata.org/entity/Q1509730,Ulrich Gadient,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q1582624,Hans Steffen,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q3553595,Valentin Oehen,http://www.wikidata.org/entity/Q660046,Swiss Democrats
http://www.wikidata.org/entity/Q3553595,Valentin Oehen,http://www.wikidata.org/entity/Q10594788,Q10594788
http://www.wikidata.org/entity/Q78060164,Pierre de Chastonay,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1666043,Urs Hauenstein,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q117884,Walter Renschler,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q120671,François Jeanneret,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q1912425,Max Dünki,http://www.wikidata.org/entity/Q667718,Evangelical People's Party of Switzerland
http://www.wikidata.org/entity/Q22304804,Hans Ulrich Baumberger,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q85638094,Kurt Meyer,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1379484,Eva Segmüller,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1397521,Titus Giger,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q15854426,Wilfried Naegeli,http://www.wikidata.org/entity/Q2145393,Republican Movement
http://www.wikidata.org/entity/Q3420956,Raymond Junod,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1518805,Martin Bundi,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1669451,Pierre Gassmann,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q115559,Arnold Koller,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q115611,René Felber,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
