id,personne_uri,nom_prenom,genre_uri,genre_code,annee_naissance,fk_parti_id
913,http://www.wikidata.org/entity/Q125397,Barbara Schmid-Federer,http://www.wikidata.org/entity/Q6581072,F,1965,3
914,http://www.wikidata.org/entity/Q120937,Daniel Jositsch,http://www.wikidata.org/entity/Q6581097,M,1965,0
915,http://www.wikidata.org/entity/Q813059,Beat Flach,http://www.wikidata.org/entity/Q6581097,M,1965,27
916,http://www.wikidata.org/entity/Q1285744,Reto Wehrli,http://www.wikidata.org/entity/Q6581097,M,1965,3
917,http://www.wikidata.org/entity/Q2798507,Roland Fischer,http://www.wikidata.org/entity/Q6581097,M,1965,27
918,http://www.wikidata.org/entity/Q3436801,Roberta Pantani,http://www.wikidata.org/entity/Q6581072,F,1965,22
919,http://www.wikidata.org/entity/Q21294778,Jacques Nicolet,http://www.wikidata.org/entity/Q6581097,M,1965,13
920,http://www.wikidata.org/entity/Q21294873,Laurent Wehrli,http://www.wikidata.org/entity/Q6581097,M,1965,23
921,http://www.wikidata.org/entity/Q118310,Marina Carobbio Guscetti,http://www.wikidata.org/entity/Q6581072,F,1966,0
922,http://www.wikidata.org/entity/Q118316,Christoph von Rotz,http://www.wikidata.org/entity/Q6581097,M,1966,13
923,http://www.wikidata.org/entity/Q118347,Fabio Abate,http://www.wikidata.org/entity/Q6581097,M,1966,23
924,http://www.wikidata.org/entity/Q118347,Fabio Abate,http://www.wikidata.org/entity/Q6581097,M,1966,3
925,http://www.wikidata.org/entity/Q118493,Thomas de Courten,http://www.wikidata.org/entity/Q6581097,M,1966,13
926,http://www.wikidata.org/entity/Q119077,Thomas Fuchs,http://www.wikidata.org/entity/Q6581097,M,1966,13
927,http://www.wikidata.org/entity/Q119978,Yvan Perrin,http://www.wikidata.org/entity/Q6581097,M,1966,13
928,http://www.wikidata.org/entity/Q120690,Valérie Garbani,http://www.wikidata.org/entity/Q6581072,F,1966,0
929,http://www.wikidata.org/entity/Q120956,Max Chopard-Acklin,http://www.wikidata.org/entity/Q6581097,M,1966,0
930,http://www.wikidata.org/entity/Q120969,Yvonne Feri,http://www.wikidata.org/entity/Q6581072,F,1966,0
931,http://www.wikidata.org/entity/Q40643979,Hansjörg Brunner,http://www.wikidata.org/entity/Q6581097,M,1966,3
932,http://www.wikidata.org/entity/Q50424583,Nicolo Paganini,http://www.wikidata.org/entity/Q6581097,M,1966,3
933,http://www.wikidata.org/entity/Q62590173,Franziska Roth,http://www.wikidata.org/entity/Q6581072,F,1966,0
934,http://www.wikidata.org/entity/Q17305571,Thomas Matter,http://www.wikidata.org/entity/Q6581097,M,1966,13
935,http://www.wikidata.org/entity/Q121072,Bernhard Hess,http://www.wikidata.org/entity/Q6581097,M,1966,13
936,http://www.wikidata.org/entity/Q121072,Bernhard Hess,http://www.wikidata.org/entity/Q6581097,M,1966,12
937,http://www.wikidata.org/entity/Q21162577,Frédéric Borloz,http://www.wikidata.org/entity/Q6581097,M,1966,23
938,http://www.wikidata.org/entity/Q21180045,Bruno Walliser,http://www.wikidata.org/entity/Q6581097,M,1966,13
939,http://www.wikidata.org/entity/Q76891689,Jean-Pierre Gallati,http://www.wikidata.org/entity/Q6581097,M,1966,13
940,http://www.wikidata.org/entity/Q23059257,Regine Sauter,http://www.wikidata.org/entity/Q6581072,F,1966,23
941,http://www.wikidata.org/entity/Q24703507,Nicolas Walder,http://www.wikidata.org/entity/Q6581097,M,1966,16
942,http://www.wikidata.org/entity/Q123183642,Bettina Balmer,http://www.wikidata.org/entity/Q6581097,M,1966,23
943,http://www.wikidata.org/entity/Q116834,Yvette Estermann,http://www.wikidata.org/entity/Q6581072,F,1967,13
944,http://www.wikidata.org/entity/Q1536747,Manuela Weichelt-Picard,http://www.wikidata.org/entity/Q6581072,F,1967,16
945,http://www.wikidata.org/entity/Q119144,Matthias Aebischer,http://www.wikidata.org/entity/Q6581097,M,1967,0
946,http://www.wikidata.org/entity/Q119388,Albert Rösti,http://www.wikidata.org/entity/Q6581097,M,1967,13
947,http://www.wikidata.org/entity/Q1725330,Philipp Hadorn,http://www.wikidata.org/entity/Q6581097,M,1967,0
948,http://www.wikidata.org/entity/Q1771134,Markus Ritter,http://www.wikidata.org/entity/Q6581097,M,1967,31
949,http://www.wikidata.org/entity/Q29870672,Thomas Egger,http://www.wikidata.org/entity/Q6581097,M,1967,3
950,http://www.wikidata.org/entity/Q50353755,Michael Töngi,http://www.wikidata.org/entity/Q6581097,M,1967,16
951,http://www.wikidata.org/entity/Q61708598,Susanne Vincenz-Stauffacher,http://www.wikidata.org/entity/Q6581072,F,1967,23
952,http://www.wikidata.org/entity/Q62103718,Ursula Zybach,http://www.wikidata.org/entity/Q6581072,F,1967,0
953,http://www.wikidata.org/entity/Q16672268,Raymond Clottu,http://www.wikidata.org/entity/Q6581097,M,1967,13
954,http://www.wikidata.org/entity/Q1163549,Daniela Schneeberger,http://www.wikidata.org/entity/Q6581072,F,1967,23
955,http://www.wikidata.org/entity/Q21180052,Claudio Zanetti,http://www.wikidata.org/entity/Q6581097,M,1967,13
956,http://www.wikidata.org/entity/Q116923,Pierre-Yves Maillard,http://www.wikidata.org/entity/Q6581097,M,1968,0
957,http://www.wikidata.org/entity/Q117230,Géraldine Savary,http://www.wikidata.org/entity/Q6581072,F,1968,0
958,http://www.wikidata.org/entity/Q118341,Jürg Stahl,http://www.wikidata.org/entity/Q6581097,M,1968,13
959,http://www.wikidata.org/entity/Q125433,Martin Landolt,http://www.wikidata.org/entity/Q6581097,M,1968,17
960,http://www.wikidata.org/entity/Q66547307,Barbara Schaffner,http://www.wikidata.org/entity/Q6581072,F,1968,27
961,http://www.wikidata.org/entity/Q18018671,Beat Walti,http://www.wikidata.org/entity/Q6581097,M,1968,23
962,http://www.wikidata.org/entity/Q1162786,Daniel Stolz,http://www.wikidata.org/entity/Q6581097,M,1968,3
963,http://www.wikidata.org/entity/Q21268698,Barbara Keller-Inhelder,http://www.wikidata.org/entity/Q6581072,F,1968,13
964,http://www.wikidata.org/entity/Q71782088,Simone de Montmollin,http://www.wikidata.org/entity/Q6581072,F,1968,23
965,http://www.wikidata.org/entity/Q71813104,Marie-France Roth Pasquier,http://www.wikidata.org/entity/Q6581072,F,1968,3
966,http://www.wikidata.org/entity/Q73746500,Monika Rüegger,http://www.wikidata.org/entity/Q6581072,F,1968,13
967,http://www.wikidata.org/entity/Q23059252,Priska Seiler Graf,http://www.wikidata.org/entity/Q6581072,F,1968,0
968,http://www.wikidata.org/entity/Q113636356,Nicole Barandun,http://www.wikidata.org/entity/Q6581072,F,1968,31
969,http://www.wikidata.org/entity/Q74519,Jürg Grossen,http://www.wikidata.org/entity/Q6581097,M,1969,27
970,http://www.wikidata.org/entity/Q1883801,Magdalena Martullo-Blocher,http://www.wikidata.org/entity/Q6581072,F,1969,13
971,http://www.wikidata.org/entity/Q1955511,Mustafa Atici,http://www.wikidata.org/entity/Q6581097,M,1969,0
972,http://www.wikidata.org/entity/Q64440993,Martin Hübscher,http://www.wikidata.org/entity/Q6581097,M,1969,13
