p,propLabel,eff
http://www.wikidata.org/prop/direct/P9352,Portrait Archive ID,249
http://www.wikidata.org/prop/direct/P8474,lobbywatch.ch ID of a member of the Swiss parliament,228
http://www.wikidata.org/prop/direct/P1006,Nationale Thesaurus voor Auteursnamen ID,205
http://www.wikidata.org/prop/direct/P1344,participant in,175
http://www.wikidata.org/prop/direct/P3368,Prabook ID,167
http://www.wikidata.org/prop/direct/P1207,NUKAT ID,157
http://www.wikidata.org/prop/direct/P463,member of,133
http://www.wikidata.org/prop/direct/P268,Bibliothèque nationale de France ID,128
http://www.wikidata.org/prop/direct/P108,employer,117
http://www.wikidata.org/prop/direct/P551,residence,117
http://www.wikidata.org/prop/direct/P1284,Munzinger person ID,116
http://www.wikidata.org/prop/direct/P101,field of work,107
http://www.wikidata.org/prop/direct/P8189,National Library of Israel J9U ID,104
http://www.wikidata.org/prop/direct/P103,native language,103
http://www.wikidata.org/prop/direct/P2163,FAST ID,102
http://www.wikidata.org/prop/direct/P3065,RERO ID (obsolete),100
http://www.wikidata.org/prop/direct/P9113,Patrinum ID,93
http://www.wikidata.org/prop/direct/P1331,PACE member ID,92
http://www.wikidata.org/prop/direct/P3987,SHARE Catalogue author ID,85
http://www.wikidata.org/prop/direct/P40,child,84
http://www.wikidata.org/prop/direct/P22,father,75
http://www.wikidata.org/prop/direct/P140,religion or worldview,74
http://www.wikidata.org/prop/direct/P1889,different from,73
http://www.wikidata.org/prop/direct/P691,NL CR AUT ID,71
http://www.wikidata.org/prop/direct/P2002,X username,69
http://www.wikidata.org/prop/direct/P119,place of burial,68
http://www.wikidata.org/prop/direct/P166,award received,68
http://www.wikidata.org/prop/direct/P6424,affiliation string,66
http://www.wikidata.org/prop/direct/P1442,image of grave,64
http://www.wikidata.org/prop/direct/P512,academic degree,62
http://www.wikidata.org/prop/direct/P7293,PLWABN ID,59
http://www.wikidata.org/prop/direct/P8750,Unione Romana Biblioteche Scientifiche ID,59
http://www.wikidata.org/prop/direct/P9918,Kallías ID,53
http://www.wikidata.org/prop/direct/P12458,Parsifal cluster ID,51
http://www.wikidata.org/prop/direct/P26,spouse,48
http://www.wikidata.org/prop/direct/P10553,IxTheo authority ID,47
http://www.wikidata.org/prop/direct/P8687,social media followers,45
http://www.wikidata.org/prop/direct/P5019,Brockhaus Enzyklopädie online ID,44
http://www.wikidata.org/prop/direct/P3889,Swiss Federal Archives ID,43
http://www.wikidata.org/prop/direct/P2600,Geni.com profile ID,41
http://www.wikidata.org/prop/direct/P1038,relative,40
http://www.wikidata.org/prop/direct/P4293,PM20 folder ID,40
http://www.wikidata.org/prop/direct/P10677,Winterthur Glossar ID,40
http://www.wikidata.org/prop/direct/P648,Open Library ID,36
http://www.wikidata.org/prop/direct/P3373,sibling,36
http://www.wikidata.org/prop/direct/P185,doctoral student,34
http://www.wikidata.org/prop/direct/P1416,affiliation,33
http://www.wikidata.org/prop/direct/P8034,Vatican Library VcBA ID,32
http://www.wikidata.org/prop/direct/P485,archives at,31
http://www.wikidata.org/prop/direct/P11249,KBR person ID,30
http://www.wikidata.org/prop/direct/P1343,described by source,29
http://www.wikidata.org/prop/direct/P8974,SAPA ID,29
http://www.wikidata.org/prop/direct/P10527,documentation files at,29
http://www.wikidata.org/prop/direct/P1276,Dictionnaire du Jura ID,28
http://www.wikidata.org/prop/direct/P3602,candidacy in election,26
http://www.wikidata.org/prop/direct/P396,SBN author ID,25
http://www.wikidata.org/prop/direct/P1695,NLP ID (old),25
http://www.wikidata.org/prop/direct/P1015,NORAF ID,24
http://www.wikidata.org/prop/direct/P1971,number of children,24
http://www.wikidata.org/prop/direct/P410,military rank,22
http://www.wikidata.org/prop/direct/P509,cause of death,21
http://www.wikidata.org/prop/direct/P1280,CONOR.SI ID,21
http://www.wikidata.org/prop/direct/P6379,has works in the collection,20
http://www.wikidata.org/prop/direct/P271,NACSIS-CAT author ID,18
http://www.wikidata.org/prop/direct/P641,sport,18
http://www.wikidata.org/prop/direct/P1196,manner of death,18
http://www.wikidata.org/prop/direct/P11496,CiNii Research ID,18
http://www.wikidata.org/prop/direct/P949,National Library of Israel ID (old),17
http://www.wikidata.org/prop/direct/P1017,Vatican Library ID (former scheme),16
http://www.wikidata.org/prop/direct/P5731,Angelicum ID,16
http://www.wikidata.org/prop/direct/P345,IMDb ID,15
http://www.wikidata.org/prop/direct/P2949,WikiTree person ID,15
http://www.wikidata.org/prop/direct/P7763,copyright status as a creator,15
http://www.wikidata.org/prop/direct/P1477,birth name,14
http://www.wikidata.org/prop/direct/P1801,plaque image,14
http://www.wikidata.org/prop/direct/P5008,on focus list of Wikimedia project,14
http://www.wikidata.org/prop/direct/P6770,Swiss National Sound Archives ID,14
