"fk_parti_id","parti_code","genre_uri","annee_naissance","parti_code"
0,PS,http://www.wikidata.org/entity/Q6581097,1907,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1907,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1908,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1908,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1908,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1908,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1908,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1909,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1910,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1910,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1911,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1911,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1912,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1912,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1913,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1914,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1914,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1915,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1916,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1916,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1916,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1916,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1916,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1917,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1917,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1918,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1920,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1921,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1921,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1921,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1921,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1921,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1922,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1922,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1923,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1923,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1924,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1925,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1925,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1926,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1926,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1927,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1927,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1927,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1928,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1928,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1928,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1929,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1929,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1930,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1931,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1932,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1932,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1932,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1932,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1933,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1934,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1935,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1935,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1936,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1936,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1937,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1938,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1938,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1938,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1938,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1939,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1941,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1941,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1941,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1942,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1942,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1943,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1943,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1943,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1943,PS
0,PS,http://www.wikidata.org/entity/Q6581097,1944,PS
